plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
0,2,0.0,0.0,3,0.0264,16.242,834.94,Eastern
1,2,0.0,0.0,3,0.1728,79.07,869.5,Eastern
2,2,0.0,0.0,3,0.1738,79.07,869.5,Eastern
3,2,0.0,0.0,3,0.1339,79.07,869.5,Eastern
4,2,0.0,0.0,3,0.1636,79.07,869.5,Eastern
5,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
6,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
7,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
8,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
9,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
10,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
11,2,0.0,0.0,3,0.0127,13.435,573.42,Eastern
12,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
13,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
14,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
15,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
16,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
17,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
18,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
19,2,0.0,0.0,3,0.0232,16.653,764.44,Eastern
20,2,0.0,0.0,3,0.0221,18.376,764.44,Eastern
21,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
22,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
23,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
24,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
25,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
26,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
27,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
28,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
29,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
30,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
31,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
32,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
33,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
34,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
35,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
36,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
37,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
38,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
39,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
40,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
41,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
42,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
43,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
44,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
45,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
46,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
47,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
48,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
49,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
50,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
51,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
52,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
53,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
54,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
55,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
56,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
57,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
58,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
59,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
60,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
61,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
62,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
63,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
64,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
65,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
66,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
67,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
68,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
69,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
70,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
71,2,0.0,0.0,3,0.0685,79.07,231.31,Eastern
72,2,0.0,0.0,3,0.0583,79.07,231.31,Eastern
73,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
74,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
75,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
76,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
77,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
78,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
79,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
80,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
81,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
82,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
83,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
84,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
85,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
86,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
87,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
88,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
89,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
90,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
91,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
92,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
93,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
94,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
95,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
96,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
97,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
98,2,0.0,0.0,3,0.0675,79.07,230.9,Eastern
99,2,0.0,0.0,3,0.0726,79.07,230.9,Eastern
100,2,0.0,0.0,3,0.0808,79.07,230.9,Eastern
101,2,0.0,0.0,3,0.0211,16.503,830.1,Eastern
102,2,0.0,0.0,3,0.0211,15.753,830.1,Eastern
103,2,0.0,0.0,3,0.0295,18.357,830.1,Eastern
104,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
105,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
106,2,0.0,0.0,3,0.0,0.0,0.0,Eastern
